State,Year,Tempf
Alabama,1895,61.64166667
Alabama,1896,64.26666667
Alabama,1897,64.19166667
Alabama,1898,62.98333333
Alabama,1899,63.1
Alabama,1900,63.40833333
Alabama,1901,61.39166667
Alabama,1902,63.58333333
Alabama,1903,61.975
Alabama,1904,62.76666667
Alabama,1905,62.63333333
Alabama,1906,63.275
Alabama,1907,63.725
Alabama,1908,64.04166667
Alabama,1909,63.85
Alabama,1910,62.66666667
Alabama,1911,65.325
Alabama,1912,62.11666667
Alabama,1913,63.60833333
Alabama,1914,62.83333333
Alabama,1915,63.2
Alabama,1916,63.44166667
Alabama,1917,61.85
Alabama,1918,63.78333333
Alabama,1919,64.09166667
Alabama,1920,62.3
Alabama,1921,65.70833333
Alabama,1922,65.16666667
Alabama,1923,63.41666667
Alabama,1924,62.25
Alabama,1925,64.95833333
Alabama,1926,62.9
Alabama,1927,65.58333333
Alabama,1928,62.48333333
Alabama,1929,63.43333333
Alabama,1930,63.26666667
Alabama,1931,64.05
Alabama,1932,64.01666667
Alabama,1933,65.1
Alabama,1934,63.4
Alabama,1935,63.575
Alabama,1936,63.80833333
Alabama,1937,63.39166667
Alabama,1938,64.54166667
Alabama,1939,63.875
Alabama,1940,61.175
Alabama,1941,63.6
Alabama,1942,62.5
Alabama,1943,63.24166667
Alabama,1944,63.60833333
Alabama,1945,63.85
Alabama,1946,64.10833333
Alabama,1947,62.65
Alabama,1948,63.4
Alabama,1949,64.225
Alabama,1950,63.11666667
Alabama,1951,63.76666667
Alabama,1952,63.35
Alabama,1953,63.75833333
Alabama,1954,64.175
Alabama,1955,63.43333333
Alabama,1956,63.58333333
Alabama,1957,63.95
Alabama,1958,61.21666667
Alabama,1959,62.95
Alabama,1960,61.54166667
Alabama,1961,61.93333333
Alabama,1962,63.05
Alabama,1963,61.725
Alabama,1964,62.39166667
Alabama,1965,63.00833333
Alabama,1966,61.64166667
Alabama,1967,61.91666667
Alabama,1968,61
Alabama,1969,61.36666667
Alabama,1970,62.11666667
Alabama,1971,62.68333333
Alabama,1972,62.95833333
Alabama,1973,63.05833333
Alabama,1974,63.1
Alabama,1975,62.825
Alabama,1976,60.675
Alabama,1977,62.45833333
Alabama,1978,61.86666667
Alabama,1979,61.35833333
Alabama,1980,62.46666667
Alabama,1981,61.98333333
Alabama,1982,63.34166667
Alabama,1983,61.19166667
Alabama,1984,62.81666667
Alabama,1985,62.79166667
Alabama,1986,64.09166667
Alabama,1987,63.04166667
Alabama,1988,62.075
Alabama,1989,62.2
Alabama,1990,64.91666667
Alabama,1991,63.95833333
Alabama,1992,62.10833333
Alabama,1993,62.325
Alabama,1994,63.05
Alabama,1995,63.03333333
Alabama,1996,62.125
Alabama,1997,62.36666667
Alabama,1998,65.125
Alabama,1999,64.14166667
Alabama,2000,63.56666667
Alabama,2001,63.03333333
Alabama,2002,63.575
Alabama,2003,62.73333333
Alabama,2004,63.33333333
Alabama,2005,63.39166667
Alabama,2006,64.2
Alabama,2007,64.4
Alabama,2008,62.91666667
Alabama,2009,62.90833333
Alabama,2010,62.70833333
Alabama,2011,63.83333333
Alabama,2012,64.91666667
Alabama,2013,62.6
Alabama,2014,62.03333333
Alabama,2015,64.61666667
Alabama,2016,65.34166667
Alabama,2017,65.03333333
Alabama,2018,64.45
Alabama,2019,65.375
Arizona,1895,58.49166667
Arizona,1896,59.98333333
Arizona,1897,58.625
Arizona,1898,59.01666667
Arizona,1899,59.16666667
Arizona,1900,60.06666667
Arizona,1901,59.94166667
Arizona,1902,59.65
Arizona,1903,58.99166667
Arizona,1904,59.65
Arizona,1905,58.78333333
Arizona,1906,59.01666667
Arizona,1907,59.45
Arizona,1908,58.725
Arizona,1909,58.45833333
Arizona,1910,61.18333333
Arizona,1911,58.775
Arizona,1912,57.2
Arizona,1913,57.48333333
Arizona,1914,59.91666667
Arizona,1915,58.21666667
Arizona,1916,58.78333333
Arizona,1917,58.65833333
Arizona,1918,58.81666667
Arizona,1919,58.08333333
Arizona,1920,57.79166667
Arizona,1921,59.925
Arizona,1922,58.625
Arizona,1923,57.85833333
Arizona,1924,58.61666667
Arizona,1925,59.1
Arizona,1926,59.60833333
Arizona,1927,59.53333333
Arizona,1928,59.63333333
Arizona,1929,58.53333333
Arizona,1930,58.53333333
Arizona,1931,59.21666667
Arizona,1932,58.38333333
Arizona,1933,58.75
Arizona,1934,61.73333333
Arizona,1935,59
Arizona,1936,60.30833333
Arizona,1937,59.125
Arizona,1938,59.30833333
Arizona,1939,59.64166667
Arizona,1940,60.85
Arizona,1941,58.16666667
Arizona,1942,59.175
Arizona,1943,60.48333333
Arizona,1944,57.99166667
Arizona,1945,58.51666667
Arizona,1946,59.30833333
Arizona,1947,59.34166667
Arizona,1948,58.55833333
Arizona,1949,58.16666667
Arizona,1950,60.49166667
Arizona,1951,58.85833333
Arizona,1952,58.825
Arizona,1953,59.25
Arizona,1954,60.88333333
Arizona,1955,58.45
Arizona,1956,59.54166667
Arizona,1957,59.54166667
Arizona,1958,60.39166667
Arizona,1959,60.2
Arizona,1960,59.575
Arizona,1961,59.25
Arizona,1962,59.83333333
Arizona,1963,59.79166667
Arizona,1964,57.76666667
Arizona,1965,58.475
Arizona,1966,59.5
Arizona,1967,59
Arizona,1968,58.65
Arizona,1969,59.7
Arizona,1970,58.95833333
Arizona,1971,58.21666667
Arizona,1972,59.64166667
Arizona,1973,58.39166667
Arizona,1974,59.48333333
Arizona,1975,57.89166667
Arizona,1976,58.96666667
